1578089327,Aldi cashier ice cream in this weatherMe in my head you havent met many queers have youas januarys go its actually extremely warm but whatever,0.55,"['aldi', 'cashier', 'ice', 'cream', 'weatherme', 'head', 'havent', 'met', 'many', 'queers', 'youas', 'januarys', 'go', 'actually', 'extremely', 'warm', 'whatever']"

1578089327,Tonight in London will be Partly Cloudy high C F low 4C 39F Wind West 7mph 11kmph london weather,0.08,"['tonight', 'london', 'partly', 'cloudy', 'high', 'c', 'f', 'low', '4c', '39f', 'wind', 'west', '7mph', '11kmph', 'london', 'weather']"

1578089327,A walker has captured images of a rare weather phenomenon called Brocken spectre on New Years Day,0.21818181818181817,"['walker', 'captured', 'images', 'rare', 'weather', 'phenomenon', 'called', 'brocken', 'spectre', 'new', 'years', 'day']"

1578089327,TechMajor Haha Its the weather When the sun comes back out youll be feeling different,0.06666666666666667,"['techmajor', 'haha', 'weather', 'sun', 'comes', 'back', 'youll', 'feeling', 'different']"

1578089327,GarethSimkins steam power had a lot of cultural work to help make it a thing c 1830s havent really had that for renewables in the same way I wonder if well have more weather related ones as climate change gets worse,0.06666666666666667,"['garethsimkins', 'steam', 'power', 'lot', 'cultural', 'work', 'help', 'make', 'thing', 'c', '1830s', 'havent', 'really', 'renewables', 'way', 'wonder', 'well', 'weather', 'related', 'ones', 'climate', 'change', 'gets', 'worse']"

1578089327,Fires in Australia have grown so big theyre generating unpredictable new weather patterns The bushfires that have swept across southwest Australia in recent weeks have grown so large that computers can no longer accurately predict where theyll spread,0.09733044733044734,"['fires', 'australia', 'grown', 'big', 'theyre', 'generating', 'unpredictable', 'new', 'weather', 'patterns', 'bushfires', 'swept', 'across', 'southwest', 'australia', 'recent', 'weeks', 'grown', 'large', 'computers', 'longer', 'accurately', 'predict', 'theyll', 'spread']"

1578089327,Friday 03 January 2020 at 1757 GMT pywws weather update from N15 London Temperature 59C Wind NE 1mph ave 3mph gust Humidity 71 Rain 00mmh Pressure 1034hPa rising quickly,0.3333333333333333,"['friday', '03', 'january', '2020', '1757', 'gmt', 'pywws', 'weather', 'update', 'n15', 'london', 'temperature', '59c', 'wind', 'ne', '1mph', 'ave', '3mph', 'gust', 'humidity', '71', 'rain', '00mmh', 'pressure', '1034hpa', 'rising', 'quickly']"

1578089327,When your vibes blends in so well with the weather upstyleyourtravels lifestyle travel loveyourself businessowner,0.0,"['vibes', 'blends', 'well', 'weather', 'upstyleyourtravels', 'lifestyle', 'travel', 'loveyourself', 'businessowner']"

1578089327,fiercecontent goodgym parkrun parkrunUK Hehe fair weather is better than no weather Its so good I have an old pair of trainers I use for muddy days and also found out that trainers clean up nicely in the washing machine with a gentle wash X,0.45238095238095244,"['fiercecontent', 'goodgym', 'parkrun', 'parkrunuk', 'hehe', 'fair', 'weather', 'better', 'weather', 'good', 'old', 'pair', 'trainers', 'use', 'muddy', 'days', 'also', 'found', 'trainers', 'clean', 'nicely', 'washing', 'machine', 'gentle', 'wash', 'x']"

1578089327,JohnRentoul Ha ha hes a weather forecasting climate change denier allegedly,-0.1,"['johnrentoul', 'ha', 'ha', 'hes', 'weather', 'forecasting', 'climate', 'change', 'denier', 'allegedly']"

1578089327,A fragment of probate history the 1808 will of John Waller born in Kirkby Stephen in Westmorland included a legacy of 200 for building a piazza as a shelter for people going to and from church or market in rainy weather amp his legacy built in 1810 still stands today,0.0,"['fragment', 'probate', 'history', '1808', 'john', 'waller', 'born', 'kirkby', 'stephen', 'westmorland', 'included', 'legacy', '200', 'building', 'piazza', 'shelter', 'people', 'going', 'church', 'market', 'rainy', 'weather', 'amp', 'legacy', 'built', '1810', 'still', 'stands', 'today']"

1578089327,Man makes frozen noodle sculpture in 50 C weather,0.0,"['man', 'makes', 'frozen', 'noodle', 'sculpture', '50', 'c', 'weather']"

1578089327,Tough weekend to short oiloften a decent probability trade vs a potential geo political or weather event being a non event or muted and while I dont expect much out of Iran it wouldnt take a lot to be sucking on 23 bucks on Sunday OOTT,-0.0037037037037037043,"['tough', 'weekend', 'short', 'oiloften', 'decent', 'probability', 'trade', 'vs', 'potential', 'geo', 'political', 'weather', 'event', 'non', 'event', 'muted', 'dont', 'expect', 'much', 'iran', 'wouldnt', 'take', 'lot', 'sucking', '23', 'bucks', 'sunday', 'oott']"

1578089327,Quick reminder that the first sepsis well being walk is Saturday morning Jan 4th at 10 am meeting at Roath Park coffee shop All welcome for a gentle stroll andor a coffee and chat Weather looks tidy too UKSepsisTrust,0.43666666666666665,"['quick', 'reminder', 'first', 'sepsis', 'well', 'walk', 'saturday', 'morning', 'jan', '4th', '10', 'meeting', 'roath', 'park', 'coffee', 'shop', 'welcome', 'gentle', 'stroll', 'andor', 'coffee', 'chat', 'weather', 'looks', 'tidy', 'uksepsistrust']"

1578089327,RLongBailey By the way theres been continuous war since Desert Storm in 1991 war these days tends to be economic and sanctioned rather than direct military action you may be surprised to hear that the weather is the first weapon of choice,0.10833333333333334,"['rlongbailey', 'way', 'theres', 'continuous', 'war', 'since', 'desert', 'storm', '1991', 'war', 'days', 'tends', 'economic', 'sanctioned', 'rather', 'direct', 'military', 'action', 'may', 'surprised', 'hear', 'weather', 'first', 'weapon', 'choice']"

1578089327,Lampard didnt take the press conference today as he was feeling under the weather but Jody Morris took duties and updated us with injury news ahead of Nottingham,0.0,"['lampard', 'didnt', 'take', 'press', 'conference', 'today', 'feeling', 'weather', 'jody', 'morris', 'took', 'duties', 'updated', 'us', 'injury', 'news', 'ahead', 'nottingham']"

